,agency_cd,site_no,Date,Q,Flow_Inst_cd,tz_cd
106,USGS,1589352,1/30/2013 8:50,50,A,UTC
107,USGS,1589352,1/30/2013 8:55,51.5,A,UTC
108,USGS,1589352,1/30/2013 9:00,51.5,A,UTC
109,USGS,1589352,1/30/2013 9:05,50,A,UTC
110,USGS,1589352,1/30/2013 9:10,51.5,A,UTC
111,USGS,1589352,1/30/2013 9:15,50,A,UTC
112,USGS,1589352,1/30/2013 9:20,51.5,A,UTC
113,USGS,1589352,1/30/2013 9:25,51.5,A,UTC
114,USGS,1589352,1/30/2013 9:30,51.5,A,UTC
115,USGS,1589352,1/30/2013 9:35,51.5,A,UTC
116,USGS,1589352,1/30/2013 9:40,51.5,A,UTC
117,USGS,1589352,1/30/2013 9:45,51.5,A,UTC
118,USGS,1589352,1/30/2013 9:50,50,A,UTC
119,USGS,1589352,1/30/2013 9:55,50,A,UTC
120,USGS,1589352,1/30/2013 10:00,51.5,A,UTC
121,USGS,1589352,1/30/2013 10:05,50,A,UTC
122,USGS,1589352,1/30/2013 10:10,50,A,UTC
123,USGS,1589352,1/30/2013 10:15,51.5,A,UTC
124,USGS,1589352,1/30/2013 10:20,50,A,UTC
125,USGS,1589352,1/30/2013 10:25,50,A,UTC
126,USGS,1589352,1/30/2013 10:30,50,A,UTC
127,USGS,1589352,1/30/2013 10:35,50,A,UTC
128,USGS,1589352,1/30/2013 10:40,51.5,A,UTC
129,USGS,1589352,1/30/2013 10:45,51.5,A,UTC
130,USGS,1589352,1/30/2013 10:50,51.5,A,UTC
131,USGS,1589352,1/30/2013 10:55,50,A,UTC
132,USGS,1589352,1/30/2013 11:00,51.5,A,UTC
133,USGS,1589352,1/30/2013 11:05,50,A,UTC
134,USGS,1589352,1/30/2013 11:10,51.5,A,UTC
135,USGS,1589352,1/30/2013 11:15,50,A,UTC
136,USGS,1589352,1/30/2013 11:20,51.5,A,UTC
137,USGS,1589352,1/30/2013 11:25,51.5,A,UTC
138,USGS,1589352,1/30/2013 11:30,51.5,A,UTC
139,USGS,1589352,1/30/2013 11:35,50,A,UTC
140,USGS,1589352,1/30/2013 11:40,51.5,A,UTC
141,USGS,1589352,1/30/2013 11:45,50,A,UTC
142,USGS,1589352,1/30/2013 11:50,51.5,A,UTC
143,USGS,1589352,1/30/2013 11:55,51.5,A,UTC
144,USGS,1589352,1/30/2013 12:00,51.5,A,UTC
145,USGS,1589352,1/30/2013 12:05,51.5,A,UTC
146,USGS,1589352,1/30/2013 12:10,50,A,UTC
147,USGS,1589352,1/30/2013 12:15,51.5,A,UTC
148,USGS,1589352,1/30/2013 12:20,50,A,UTC
149,USGS,1589352,1/30/2013 12:25,50,A,UTC
150,USGS,1589352,1/30/2013 12:30,51.5,A,UTC
151,USGS,1589352,1/30/2013 12:35,53.1,A,UTC
152,USGS,1589352,1/30/2013 12:40,51.5,A,UTC
153,USGS,1589352,1/30/2013 12:45,51.5,A,UTC
154,USGS,1589352,1/30/2013 12:50,51.5,A,UTC
155,USGS,1589352,1/30/2013 12:55,53.1,A,UTC
156,USGS,1589352,1/30/2013 13:00,51.5,A,UTC
157,USGS,1589352,1/30/2013 13:05,51.5,A,UTC
158,USGS,1589352,1/30/2013 13:10,53.1,A,UTC
159,USGS,1589352,1/30/2013 13:15,53.1,A,UTC
160,USGS,1589352,1/30/2013 13:20,51.5,A,UTC
161,USGS,1589352,1/30/2013 13:25,51.5,A,UTC
162,USGS,1589352,1/30/2013 13:30,51.5,A,UTC
163,USGS,1589352,1/30/2013 13:35,51.5,A,UTC
164,USGS,1589352,1/30/2013 13:40,51.5,A,UTC
165,USGS,1589352,1/30/2013 13:45,51.5,A,UTC
166,USGS,1589352,1/30/2013 13:50,53.1,A,UTC
167,USGS,1589352,1/30/2013 13:55,51.5,A,UTC
168,USGS,1589352,1/30/2013 14:00,51.5,A,UTC
169,USGS,1589352,1/30/2013 14:05,51.5,A,UTC
170,USGS,1589352,1/30/2013 14:10,51.5,A,UTC
171,USGS,1589352,1/30/2013 14:15,51.5,A,UTC
172,USGS,1589352,1/30/2013 14:20,53.1,A,UTC
173,USGS,1589352,1/30/2013 14:25,51.5,A,UTC
174,USGS,1589352,1/30/2013 14:30,51.5,A,UTC
175,USGS,1589352,1/30/2013 14:35,51.5,A,UTC
176,USGS,1589352,1/30/2013 14:40,51.5,A,UTC
177,USGS,1589352,1/30/2013 14:45,51.5,A,UTC
178,USGS,1589352,1/30/2013 14:50,51.5,A,UTC
179,USGS,1589352,1/30/2013 14:55,53.1,A,UTC
180,USGS,1589352,1/30/2013 15:00,51.5,A,UTC
181,USGS,1589352,1/30/2013 15:05,51.5,A,UTC
182,USGS,1589352,1/30/2013 15:10,53.1,A,UTC
183,USGS,1589352,1/30/2013 15:15,53.1,A,UTC
184,USGS,1589352,1/30/2013 15:20,51.5,A,UTC
185,USGS,1589352,1/30/2013 15:25,53.1,A,UTC
186,USGS,1589352,1/30/2013 15:30,51.5,A,UTC
187,USGS,1589352,1/30/2013 15:35,51.5,A,UTC
188,USGS,1589352,1/30/2013 15:40,51.5,A,UTC
189,USGS,1589352,1/30/2013 15:45,50,A,UTC
190,USGS,1589352,1/30/2013 15:50,51.5,A,UTC
191,USGS,1589352,1/30/2013 15:55,51.5,A,UTC
192,USGS,1589352,1/30/2013 16:00,51.5,A,UTC
193,USGS,1589352,1/30/2013 16:05,51.5,A,UTC
194,USGS,1589352,1/30/2013 16:10,51.5,A,UTC
195,USGS,1589352,1/30/2013 16:15,51.5,A,UTC
196,USGS,1589352,1/30/2013 16:20,51.5,A,UTC
197,USGS,1589352,1/30/2013 16:25,51.5,A,UTC
198,USGS,1589352,1/30/2013 16:30,51.5,A,UTC
199,USGS,1589352,1/30/2013 16:35,50,A,UTC
200,USGS,1589352,1/30/2013 16:40,51.5,A,UTC
201,USGS,1589352,1/30/2013 16:45,51.5,A,UTC
202,USGS,1589352,1/30/2013 16:50,51.5,A,UTC
203,USGS,1589352,1/30/2013 16:55,50,A,UTC
