reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,159500,1-Sep-08,0,0,,
1,159500,1-Sep-08,0,6,,
1,159500,1-Sep-08,0,12,,
1,159500,1-Sep-08,0,18,,
1,159500,1-Sep-08,0,24,,
1,159500,1-Sep-08,0,30,,
1,159500,1-Sep-08,0,36,,
1,159500,1-Sep-08,0,42,65.02,65.02
1,159500,1-Sep-08,0,48,65.07,65.07
1,159500,1-Sep-08,0,54,65.08,65.08
1,159500,1-Sep-08,1,0,65.08,65.08
1,159500,1-Sep-08,1,6,65.08,65.08
1,159500,1-Sep-08,1,12,65.08,65.08
1,159500,1-Sep-08,1,18,65.07,65.07
1,159500,1-Sep-08,1,24,65.07,65.07
1,159500,1-Sep-08,1,30,65.07,65.07
1,159500,1-Sep-08,1,36,65.06,65.06
1,159500,1-Sep-08,1,42,65.06,65.06
1,159500,1-Sep-08,1,48,65.05,65.05
1,159500,1-Sep-08,1,54,65.03,65.03
1,159500,1-Sep-08,2,0,,
1,159500,1-Sep-08,2,6,,
1,159500,1-Sep-08,2,12,,
1,159500,1-Sep-08,2,18,,
1,159500,1-Sep-08,2,24,,
1,159500,1-Sep-08,2,30,,
1,159500,1-Sep-08,2,36,,
1,159500,1-Sep-08,2,42,,
1,159500,1-Sep-08,2,48,,
1,159500,1-Sep-08,2,54,,
1,159500,1-Sep-08,3,0,,
1,159500,1-Sep-08,3,6,,
1,159500,1-Sep-08,3,12,,
1,159500,1-Sep-08,3,18,,
1,159500,1-Sep-08,3,24,,
1,159500,1-Sep-08,3,30,,
1,159500,1-Sep-08,3,36,,
1,159500,1-Sep-08,3,42,,
1,159500,1-Sep-08,3,48,,
1,159500,1-Sep-08,3,54,,
1,159500,1-Sep-08,4,0,,
1,159500,1-Sep-08,4,6,,
1,159500,1-Sep-08,4,12,,
1,159500,1-Sep-08,4,18,,
1,159500,1-Sep-08,4,24,,
1,159500,1-Sep-08,4,30,,
1,159500,1-Sep-08,4,36,,
1,159500,1-Sep-08,4,42,,
1,159500,1-Sep-08,4,48,,
1,159500,1-Sep-08,4,54,,
1,159500,1-Sep-08,5,0,,
1,159500,1-Sep-08,5,6,,
1,159500,1-Sep-08,5,12,,
1,159500,1-Sep-08,5,18,,
1,159500,1-Sep-08,5,24,,
1,159500,1-Sep-08,5,30,,
1,159500,1-Sep-08,5,36,,
1,159500,1-Sep-08,5,42,,
