,agency_cd,site_no,Date,Q,Flow_Inst_cd,tz_cd
35,USGS,1589352,12/23/2013 2:55,76.5,A,UTC
36,USGS,1589352,12/23/2013 3:00,76.5,A,UTC
37,USGS,1589352,12/23/2013 3:05,76.5,A,UTC
38,USGS,1589352,12/23/2013 3:10,76.5,A,UTC
39,USGS,1589352,12/23/2013 3:15,76.5,A,UTC
40,USGS,1589352,12/23/2013 3:20,76.5,A,UTC
41,USGS,1589352,12/23/2013 3:25,76.5,A,UTC
42,USGS,1589352,12/23/2013 3:30,76.5,A,UTC
43,USGS,1589352,12/23/2013 3:35,76.5,A,UTC
44,USGS,1589352,12/23/2013 3:40,76.5,A,UTC
45,USGS,1589352,12/23/2013 3:45,76.5,A,UTC
46,USGS,1589352,12/23/2013 3:50,76.5,A,UTC
47,USGS,1589352,12/23/2013 3:55,76.5,A,UTC
48,USGS,1589352,12/23/2013 4:00,76.5,A,UTC
49,USGS,1589352,12/23/2013 4:05,76.5,A,UTC
50,USGS,1589352,12/23/2013 4:10,76.5,A,UTC
51,USGS,1589352,12/23/2013 4:15,76.5,A,UTC
52,USGS,1589352,12/23/2013 4:20,76.5,A,UTC
53,USGS,1589352,12/23/2013 4:25,76.5,A,UTC
54,USGS,1589352,12/23/2013 4:30,76.5,A,UTC
55,USGS,1589352,12/23/2013 4:35,76.5,A,UTC
56,USGS,1589352,12/23/2013 4:40,76.5,A,UTC
57,USGS,1589352,12/23/2013 4:45,76.5,A,UTC
58,USGS,1589352,12/23/2013 4:50,76.5,A,UTC
59,USGS,1589352,12/23/2013 4:55,76.5,A,UTC
60,USGS,1589352,12/23/2013 5:00,76.5,A,UTC
61,USGS,1589352,12/23/2013 5:05,75,A,UTC
62,USGS,1589352,12/23/2013 5:10,76.5,A,UTC
63,USGS,1589352,12/23/2013 5:15,76.5,A,UTC
64,USGS,1589352,12/23/2013 5:20,76.5,A,UTC
65,USGS,1589352,12/23/2013 5:25,76.5,A,UTC
66,USGS,1589352,12/23/2013 5:30,76.5,A,UTC
67,USGS,1589352,12/23/2013 5:35,76.5,A,UTC
68,USGS,1589352,12/23/2013 5:40,76.5,A,UTC
69,USGS,1589352,12/23/2013 5:45,75,A,UTC
70,USGS,1589352,12/23/2013 5:50,76.5,A,UTC
71,USGS,1589352,12/23/2013 5:55,75,A,UTC
72,USGS,1589352,12/23/2013 6:00,75,A,UTC
73,USGS,1589352,12/23/2013 6:05,75,A,UTC
74,USGS,1589352,12/23/2013 6:10,75,A,UTC
75,USGS,1589352,12/23/2013 6:15,76.5,A,UTC
76,USGS,1589352,12/23/2013 6:20,75,A,UTC
77,USGS,1589352,12/23/2013 6:25,76.5,A,UTC
78,USGS,1589352,12/23/2013 6:30,73.5,A,UTC
79,USGS,1589352,12/23/2013 6:35,75,A,UTC
80,USGS,1589352,12/23/2013 6:40,75,A,UTC
81,USGS,1589352,12/23/2013 6:45,75,A,UTC
82,USGS,1589352,12/23/2013 6:50,75,A,UTC
83,USGS,1589352,12/23/2013 6:55,75,A,UTC
84,USGS,1589352,12/23/2013 7:00,75,A,UTC
85,USGS,1589352,12/23/2013 7:05,73.5,A,UTC
86,USGS,1589352,12/23/2013 7:10,75,A,UTC
87,USGS,1589352,12/23/2013 7:15,73.5,A,UTC
88,USGS,1589352,12/23/2013 7:20,73.5,A,UTC
89,USGS,1589352,12/23/2013 7:25,73.5,A,UTC
90,USGS,1589352,12/23/2013 7:30,75,A,UTC
91,USGS,1589352,12/23/2013 7:35,73.5,A,UTC
92,USGS,1589352,12/23/2013 7:40,75,A,UTC
93,USGS,1589352,12/23/2013 7:45,73.5,A,UTC
94,USGS,1589352,12/23/2013 7:50,75,A,UTC
95,USGS,1589352,12/23/2013 7:55,75,A,UTC
96,USGS,1589352,12/23/2013 8:00,73.5,A,UTC
97,USGS,1589352,12/23/2013 8:05,73.5,A,UTC
98,USGS,1589352,12/23/2013 8:10,73.5,A,UTC
99,USGS,1589352,12/23/2013 8:15,71.9,A,UTC
100,USGS,1589352,12/23/2013 8:20,71.9,A,UTC
101,USGS,1589352,12/23/2013 8:25,73.5,A,UTC
102,USGS,1589352,12/23/2013 8:30,75,A,UTC
103,USGS,1589352,12/23/2013 8:35,73.5,A,UTC
104,USGS,1589352,12/23/2013 8:40,73.5,A,UTC
105,USGS,1589352,12/23/2013 8:45,75,A,UTC
106,USGS,1589352,12/23/2013 8:50,76.5,A,UTC
107,USGS,1589352,12/23/2013 8:55,76.5,A,UTC
108,USGS,1589352,12/23/2013 9:00,78,A,UTC
109,USGS,1589352,12/23/2013 9:05,79.6,A,UTC
110,USGS,1589352,12/23/2013 9:10,84.3,A,UTC
111,USGS,1589352,12/23/2013 9:15,87.7,A,UTC
112,USGS,1589352,12/23/2013 9:20,93.2,A,UTC
113,USGS,1589352,12/23/2013 9:25,98.8,A,UTC
114,USGS,1589352,12/23/2013 9:30,98.8,A,UTC
115,USGS,1589352,12/23/2013 9:35,105,A,UTC
116,USGS,1589352,12/23/2013 9:40,136,A,UTC
117,USGS,1589352,12/23/2013 9:45,194,A,UTC
118,USGS,1589352,12/23/2013 9:50,214,A,UTC
119,USGS,1589352,12/23/2013 9:55,202,A,UTC
120,USGS,1589352,12/23/2013 10:00,175,A,UTC
121,USGS,1589352,12/23/2013 10:05,160,A,UTC
122,USGS,1589352,12/23/2013 10:10,155,A,UTC
123,USGS,1589352,12/23/2013 10:15,155,A,UTC
124,USGS,1589352,12/23/2013 10:20,167,A,UTC
125,USGS,1589352,12/23/2013 10:25,178,A,UTC
126,USGS,1589352,12/23/2013 10:30,191,A,UTC
127,USGS,1589352,12/23/2013 10:35,205,A,UTC
128,USGS,1589352,12/23/2013 10:40,217,A,UTC
129,USGS,1589352,12/23/2013 10:45,226,A,UTC
130,USGS,1589352,12/23/2013 10:50,238,A,UTC
131,USGS,1589352,12/23/2013 10:55,250,A,UTC
132,USGS,1589352,12/23/2013 11:00,260,A,UTC
133,USGS,1589352,12/23/2013 11:05,263,A,UTC
134,USGS,1589352,12/23/2013 11:10,269,A,UTC
135,USGS,1589352,12/23/2013 11:15,273,A,UTC
136,USGS,1589352,12/23/2013 11:20,276,A,UTC
137,USGS,1589352,12/23/2013 11:25,279,A,UTC
138,USGS,1589352,12/23/2013 11:30,289,A,UTC
139,USGS,1589352,12/23/2013 11:35,293,A,UTC
140,USGS,1589352,12/23/2013 11:40,296,A,UTC
141,USGS,1589352,12/23/2013 11:45,303,A,UTC
142,USGS,1589352,12/23/2013 11:50,310,A,UTC
143,USGS,1589352,12/23/2013 11:55,314,A,UTC
144,USGS,1589352,12/23/2013 12:00,328,A,UTC
145,USGS,1589352,12/23/2013 12:05,343,A,UTC
146,USGS,1589352,12/23/2013 12:10,385,A,UTC
147,USGS,1589352,12/23/2013 12:15,438,A,UTC
148,USGS,1589352,12/23/2013 12:20,499,A,UTC
149,USGS,1589352,12/23/2013 12:25,540,A,UTC
150,USGS,1589352,12/23/2013 12:30,568,A,UTC
151,USGS,1589352,12/23/2013 12:35,593,A,UTC
152,USGS,1589352,12/23/2013 12:40,648,A,UTC
153,USGS,1589352,12/23/2013 12:45,709,A,UTC
154,USGS,1589352,12/23/2013 12:50,755,A,UTC
155,USGS,1589352,12/23/2013 12:55,767,A,UTC
156,USGS,1589352,12/23/2013 13:00,773,A,UTC
157,USGS,1589352,12/23/2013 13:05,767,A,UTC
158,USGS,1589352,12/23/2013 13:10,744,A,UTC
159,USGS,1589352,12/23/2013 13:15,726,A,UTC
160,USGS,1589352,12/23/2013 13:20,709,A,UTC
161,USGS,1589352,12/23/2013 13:25,692,A,UTC
162,USGS,1589352,12/23/2013 13:30,676,A,UTC
163,USGS,1589352,12/23/2013 13:35,670,A,UTC
164,USGS,1589352,12/23/2013 13:40,654,A,UTC
165,USGS,1589352,12/23/2013 13:45,633,A,UTC
166,USGS,1589352,12/23/2013 13:50,633,A,UTC
167,USGS,1589352,12/23/2013 13:55,633,A,UTC
168,USGS,1589352,12/23/2013 14:00,618,A,UTC
169,USGS,1589352,12/23/2013 14:05,623,A,UTC
170,USGS,1589352,12/23/2013 14:10,618,A,UTC
171,USGS,1589352,12/23/2013 14:15,618,A,UTC
172,USGS,1589352,12/23/2013 14:20,623,A,UTC
173,USGS,1589352,12/23/2013 14:25,623,A,UTC
174,USGS,1589352,12/23/2013 14:30,623,A,UTC
175,USGS,1589352,12/23/2013 14:35,623,A,UTC
176,USGS,1589352,12/23/2013 14:40,628,A,UTC
177,USGS,1589352,12/23/2013 14:45,633,A,UTC
178,USGS,1589352,12/23/2013 14:50,638,A,UTC
179,USGS,1589352,12/23/2013 14:55,638,A,UTC
180,USGS,1589352,12/23/2013 15:00,654,A,UTC
181,USGS,1589352,12/23/2013 15:05,654,A,UTC
182,USGS,1589352,12/23/2013 15:10,659,A,UTC
183,USGS,1589352,12/23/2013 15:15,659,A,UTC
184,USGS,1589352,12/23/2013 15:20,654,A,UTC
185,USGS,1589352,12/23/2013 15:25,676,A,UTC
186,USGS,1589352,12/23/2013 15:30,715,A,UTC
187,USGS,1589352,12/23/2013 15:35,791,A,UTC
188,USGS,1589352,12/23/2013 15:40,797,A,UTC
189,USGS,1589352,12/23/2013 15:45,773,A,UTC
190,USGS,1589352,12/23/2013 15:50,773,A,UTC
191,USGS,1589352,12/23/2013 15:55,791,A,UTC
192,USGS,1589352,12/23/2013 16:00,821,A,UTC
193,USGS,1589352,12/23/2013 16:05,852,A,UTC
194,USGS,1589352,12/23/2013 16:10,871,A,UTC
195,USGS,1589352,12/23/2013 16:15,858,A,UTC
196,USGS,1589352,12/23/2013 16:20,877,A,UTC
197,USGS,1589352,12/23/2013 16:25,890,A,UTC
198,USGS,1589352,12/23/2013 16:30,908,A,UTC
199,USGS,1589352,12/23/2013 16:35,926,A,UTC
200,USGS,1589352,12/23/2013 16:40,926,A,UTC
201,USGS,1589352,12/23/2013 16:45,938,A,UTC
202,USGS,1589352,12/23/2013 16:50,938,A,UTC
203,USGS,1589352,12/23/2013 16:55,951,A,UTC
204,USGS,1589352,12/23/2013 17:00,970,A,UTC
205,USGS,1589352,12/23/2013 17:05,995,A,UTC
206,USGS,1589352,12/23/2013 17:10,1010,A,UTC
207,USGS,1589352,12/23/2013 17:15,1020,A,UTC
208,USGS,1589352,12/23/2013 17:20,1040,A,UTC
209,USGS,1589352,12/23/2013 17:25,1050,A,UTC
210,USGS,1589352,12/23/2013 17:30,1060,A,UTC
211,USGS,1589352,12/23/2013 17:35,1070,A,UTC
212,USGS,1589352,12/23/2013 17:40,1070,A,UTC
213,USGS,1589352,12/23/2013 17:45,1090,A,UTC
214,USGS,1589352,12/23/2013 17:50,1090,A,UTC
215,USGS,1589352,12/23/2013 17:55,1100,A,UTC
216,USGS,1589352,12/23/2013 18:00,1090,A,UTC
217,USGS,1589352,12/23/2013 18:05,1100,A,UTC
218,USGS,1589352,12/23/2013 18:10,1100,A,UTC
219,USGS,1589352,12/23/2013 18:15,1090,A,UTC
220,USGS,1589352,12/23/2013 18:20,1100,A,UTC
221,USGS,1589352,12/23/2013 18:25,1090,A,UTC
222,USGS,1589352,12/23/2013 18:30,1090,A,UTC
223,USGS,1589352,12/23/2013 18:35,1090,A,UTC
224,USGS,1589352,12/23/2013 18:40,1090,A,UTC
225,USGS,1589352,12/23/2013 18:45,1090,A,UTC
226,USGS,1589352,12/23/2013 18:50,1070,A,UTC
227,USGS,1589352,12/23/2013 18:55,1060,A,UTC
228,USGS,1589352,12/23/2013 19:00,1060,A,UTC
229,USGS,1589352,12/23/2013 19:05,1050,A,UTC
230,USGS,1589352,12/23/2013 19:10,1050,A,UTC
231,USGS,1589352,12/23/2013 19:15,1040,A,UTC
232,USGS,1589352,12/23/2013 19:20,1030,A,UTC
233,USGS,1589352,12/23/2013 19:25,1010,A,UTC
234,USGS,1589352,12/23/2013 19:30,995,A,UTC
235,USGS,1589352,12/23/2013 19:35,982,A,UTC
236,USGS,1589352,12/23/2013 19:40,976,A,UTC
237,USGS,1589352,12/23/2013 19:45,957,A,UTC
238,USGS,1589352,12/23/2013 19:50,945,A,UTC
239,USGS,1589352,12/23/2013 19:55,932,A,UTC
240,USGS,1589352,12/23/2013 20:00,920,A,UTC
241,USGS,1589352,12/23/2013 20:05,914,A,UTC
242,USGS,1589352,12/23/2013 20:10,890,A,UTC
243,USGS,1589352,12/23/2013 20:15,877,A,UTC
244,USGS,1589352,12/23/2013 20:20,858,A,UTC
245,USGS,1589352,12/23/2013 20:25,852,A,UTC
246,USGS,1589352,12/23/2013 20:30,840,A,UTC
247,USGS,1589352,12/23/2013 20:35,827,A,UTC
248,USGS,1589352,12/23/2013 20:40,821,A,UTC
249,USGS,1589352,12/23/2013 20:45,821,A,UTC
250,USGS,1589352,12/23/2013 20:50,803,A,UTC
251,USGS,1589352,12/23/2013 20:55,809,A,UTC
252,USGS,1589352,12/23/2013 21:00,809,A,UTC
253,USGS,1589352,12/23/2013 21:05,797,A,UTC
254,USGS,1589352,12/23/2013 21:10,797,A,UTC
255,USGS,1589352,12/23/2013 21:15,785,A,UTC
256,USGS,1589352,12/23/2013 21:20,779,A,UTC
257,USGS,1589352,12/23/2013 21:25,773,A,UTC
258,USGS,1589352,12/23/2013 21:30,767,A,UTC
259,USGS,1589352,12/23/2013 21:35,767,A,UTC
260,USGS,1589352,12/23/2013 21:40,761,A,UTC
261,USGS,1589352,12/23/2013 21:45,744,A,UTC
262,USGS,1589352,12/23/2013 21:50,744,A,UTC
263,USGS,1589352,12/23/2013 21:55,738,A,UTC
264,USGS,1589352,12/23/2013 22:00,726,A,UTC
265,USGS,1589352,12/23/2013 22:05,721,A,UTC
266,USGS,1589352,12/23/2013 22:10,709,A,UTC
267,USGS,1589352,12/23/2013 22:15,709,A,UTC
268,USGS,1589352,12/23/2013 22:20,687,A,UTC
269,USGS,1589352,12/23/2013 22:25,681,A,UTC
270,USGS,1589352,12/23/2013 22:30,670,A,UTC
271,USGS,1589352,12/23/2013 22:35,670,A,UTC
272,USGS,1589352,12/23/2013 22:40,654,A,UTC
273,USGS,1589352,12/23/2013 22:45,638,A,UTC
274,USGS,1589352,12/23/2013 22:50,633,A,UTC
275,USGS,1589352,12/23/2013 22:55,623,A,UTC
276,USGS,1589352,12/23/2013 23:00,618,A,UTC
277,USGS,1589352,12/23/2013 23:05,613,A,UTC
278,USGS,1589352,12/23/2013 23:10,603,A,UTC
279,USGS,1589352,12/23/2013 23:15,583,A,UTC
280,USGS,1589352,12/23/2013 23:20,588,A,UTC
281,USGS,1589352,12/23/2013 23:25,573,A,UTC
282,USGS,1589352,12/23/2013 23:30,573,A,UTC
283,USGS,1589352,12/23/2013 23:35,564,A,UTC
284,USGS,1589352,12/23/2013 23:40,549,A,UTC
285,USGS,1589352,12/23/2013 23:45,540,A,UTC
286,USGS,1589352,12/23/2013 23:50,535,A,UTC
287,USGS,1589352,12/23/2013 23:55,526,A,UTC
288,USGS,1589352,12/24/2013,517,A,UTC
289,USGS,1589352,12/24/2013 0:05,512,A,UTC
290,USGS,1589352,12/24/2013 0:10,499,A,UTC
291,USGS,1589352,12/24/2013 0:15,490,A,UTC
292,USGS,1589352,12/24/2013 0:20,481,A,UTC
293,USGS,1589352,12/24/2013 0:25,481,A,UTC
294,USGS,1589352,12/24/2013 0:30,472,A,UTC
295,USGS,1589352,12/24/2013 0:35,472,A,UTC
296,USGS,1589352,12/24/2013 0:40,463,A,UTC
297,USGS,1589352,12/24/2013 0:45,450,A,UTC
298,USGS,1589352,12/24/2013 0:50,442,A,UTC
299,USGS,1589352,12/24/2013 0:55,433,A,UTC
300,USGS,1589352,12/24/2013 1:00,429,A,UTC
301,USGS,1589352,12/24/2013 1:05,429,A,UTC
302,USGS,1589352,12/24/2013 1:10,417,A,UTC
303,USGS,1589352,12/24/2013 1:15,413,A,UTC
304,USGS,1589352,12/24/2013 1:20,405,A,UTC
305,USGS,1589352,12/24/2013 1:25,401,A,UTC
306,USGS,1589352,12/24/2013 1:30,397,A,UTC
307,USGS,1589352,12/24/2013 1:35,393,A,UTC
308,USGS,1589352,12/24/2013 1:40,389,A,UTC
309,USGS,1589352,12/24/2013 1:45,385,A,UTC
310,USGS,1589352,12/24/2013 1:50,373,A,UTC
311,USGS,1589352,12/24/2013 1:55,361,A,UTC
312,USGS,1589352,12/24/2013 2:00,365,A,UTC
313,USGS,1589352,12/24/2013 2:05,358,A,UTC
314,USGS,1589352,12/24/2013 2:10,350,A,UTC
315,USGS,1589352,12/24/2013 2:15,346,A,UTC
316,USGS,1589352,12/24/2013 2:20,343,A,UTC
317,USGS,1589352,12/24/2013 2:25,343,A,UTC
318,USGS,1589352,12/24/2013 2:30,339,A,UTC
319,USGS,1589352,12/24/2013 2:35,332,A,UTC
320,USGS,1589352,12/24/2013 2:40,324,A,UTC
321,USGS,1589352,12/24/2013 2:45,324,A,UTC
322,USGS,1589352,12/24/2013 2:50,317,A,UTC
323,USGS,1589352,12/24/2013 2:55,317,A,UTC
324,USGS,1589352,12/24/2013 3:00,314,A,UTC
325,USGS,1589352,12/24/2013 3:05,310,A,UTC
326,USGS,1589352,12/24/2013 3:10,307,A,UTC
327,USGS,1589352,12/24/2013 3:15,307,A,UTC
328,USGS,1589352,12/24/2013 3:20,300,A,UTC
329,USGS,1589352,12/24/2013 3:25,300,A,UTC
330,USGS,1589352,12/24/2013 3:30,296,A,UTC
331,USGS,1589352,12/24/2013 3:35,293,A,UTC
332,USGS,1589352,12/24/2013 3:40,293,A,UTC
333,USGS,1589352,12/24/2013 3:45,286,A,UTC
334,USGS,1589352,12/24/2013 3:50,289,A,UTC
335,USGS,1589352,12/24/2013 3:55,286,A,UTC
336,USGS,1589352,12/24/2013 4:00,279,A,UTC
337,USGS,1589352,12/24/2013 4:05,276,A,UTC
338,USGS,1589352,12/24/2013 4:10,276,A,UTC
339,USGS,1589352,12/24/2013 4:15,269,A,UTC
340,USGS,1589352,12/24/2013 4:20,273,A,UTC
341,USGS,1589352,12/24/2013 4:25,263,A,UTC
342,USGS,1589352,12/24/2013 4:30,263,A,UTC
343,USGS,1589352,12/24/2013 4:35,263,A,UTC
344,USGS,1589352,12/24/2013 4:40,260,A,UTC
345,USGS,1589352,12/24/2013 4:45,253,A,UTC
346,USGS,1589352,12/24/2013 4:50,256,A,UTC
347,USGS,1589352,12/24/2013 4:55,256,A,UTC
348,USGS,1589352,12/24/2013 5:00,250,A,UTC
349,USGS,1589352,12/24/2013 5:05,250,A,UTC
350,USGS,1589352,12/24/2013 5:10,244,A,UTC
351,USGS,1589352,12/24/2013 5:15,247,A,UTC
352,USGS,1589352,12/24/2013 5:20,244,A,UTC
353,USGS,1589352,12/24/2013 5:25,235,A,UTC
354,USGS,1589352,12/24/2013 5:30,235,A,UTC
355,USGS,1589352,12/24/2013 5:35,235,A,UTC
356,USGS,1589352,12/24/2013 5:40,232,A,UTC
357,USGS,1589352,12/24/2013 5:45,229,A,UTC
358,USGS,1589352,12/24/2013 5:50,232,A,UTC
359,USGS,1589352,12/24/2013 5:55,226,A,UTC
360,USGS,1589352,12/24/2013 6:00,226,A,UTC
361,USGS,1589352,12/24/2013 6:05,226,A,UTC
362,USGS,1589352,12/24/2013 6:10,226,A,UTC
