reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,159500,1-Sep-08,13,50,,
1,159500,1-Sep-08,13,55,,
1,159500,1-Sep-08,14,0,,
1,159500,1-Sep-08,14,5,,
1,159500,1-Sep-08,14,10,,
1,159500,1-Sep-08,14,15,,
1,159500,1-Sep-08,14,20,,
1,159500,1-Sep-08,14,25,,
1,159500,1-Sep-08,14,30,,
1,159500,1-Sep-08,14,35,,
1,159500,1-Sep-08,14,40,,
1,159500,1-Sep-08,14,45,,
1,159500,1-Sep-08,14,50,,
1,159500,1-Sep-08,14,55,,
1,159500,1-Sep-08,15,0,,
1,159500,1-Sep-08,15,5,,
1,159500,1-Sep-08,15,10,,
1,159500,1-Sep-08,15,15,,
1,159500,1-Sep-08,15,20,,
1,159500,1-Sep-08,15,25,,
1,159500,1-Sep-08,15,30,,
1,159500,1-Sep-08,15,35,,
1,159500,1-Sep-08,15,40,,
1,159500,1-Sep-08,15,45,,
1,159500,1-Sep-08,15,50,,
1,159500,1-Sep-08,15,55,,
1,159500,1-Sep-08,16,0,,
1,159500,1-Sep-08,16,5,,
1,159500,1-Sep-08,16,10,,
1,159500,1-Sep-08,16,15,,
1,159500,1-Sep-08,16,20,,
1,159500,1-Sep-08,16,25,,
1,159500,1-Sep-08,16,30,,
1,159500,1-Sep-08,16,35,,
1,159500,1-Sep-08,16,40,,
1,159500,1-Sep-08,16,45,,
1,159500,1-Sep-08,16,50,,
1,159500,1-Sep-08,16,55,,
1,159500,1-Sep-08,17,0,,
1,159500,1-Sep-08,17,5,,
1,159500,1-Sep-08,17,10,,
1,159500,1-Sep-08,17,15,,
1,159500,1-Sep-08,17,20,,
1,159500,1-Sep-08,17,25,,
1,159500,1-Sep-08,17,30,,
1,159500,1-Sep-08,17,35,,
1,159500,1-Sep-08,17,40,,
1,159500,1-Sep-08,17,45,,
1,159500,1-Sep-08,17,50,,
1,159500,1-Sep-08,17,55,,
1,159500,1-Sep-08,18,0,,
1,159500,1-Sep-08,18,5,,
1,159500,1-Sep-08,18,10,,
1,159500,1-Sep-08,18,15,,
1,159500,1-Sep-08,18,20,,
1,159500,1-Sep-08,18,25,,
1,159500,1-Sep-08,18,30,,
1,159500,1-Sep-08,18,35,,
1,159500,1-Sep-08,18,40,,
1,159500,1-Sep-08,18,45,,
1,159500,1-Sep-08,18,50,,
1,159500,1-Sep-08,18,55,,
1,159500,1-Sep-08,19,0,,
1,159500,1-Sep-08,19,5,,
1,159500,1-Sep-08,19,10,,
1,159500,1-Sep-08,19,15,,
1,159500,1-Sep-08,19,20,,
1,159500,1-Sep-08,19,25,,
1,159500,1-Sep-08,19,30,,
1,159500,1-Sep-08,19,35,,
1,159500,1-Sep-08,19,40,,
1,159500,1-Sep-08,19,45,,
1,159500,1-Sep-08,19,50,,
1,159500,1-Sep-08,19,55,,
1,159500,1-Sep-08,20,0,,
1,159500,1-Sep-08,20,5,,
1,159500,1-Sep-08,20,10,,
1,159500,1-Sep-08,20,15,,
1,159500,1-Sep-08,20,20,,
1,159500,1-Sep-08,20,25,,
1,159500,1-Sep-08,20,30,,
1,159500,1-Sep-08,20,35,,
1,159500,1-Sep-08,20,40,,
1,159500,1-Sep-08,20,45,,
1,159500,1-Sep-08,20,50,,
1,159500,1-Sep-08,20,55,,
1,159500,1-Sep-08,21,0,,
1,159500,1-Sep-08,21,5,,
1,159500,1-Sep-08,21,10,,
1,159500,1-Sep-08,21,15,,
1,159500,1-Sep-08,21,20,,
1,159500,1-Sep-08,21,25,,
1,159500,1-Sep-08,21,30,,
1,159500,1-Sep-08,21,35,,
1,159500,1-Sep-08,21,40,,
1,159500,1-Sep-08,21,45,,
1,159500,1-Sep-08,21,50,,
1,159500,1-Sep-08,21,55,,
1,159500,1-Sep-08,22,0,,
1,159500,1-Sep-08,22,5,,
1,159500,1-Sep-08,22,10,,
1,159500,1-Sep-08,22,15,,
1,159500,1-Sep-08,22,20,,
1,159500,1-Sep-08,22,25,,
1,159500,1-Sep-08,22,30,,
1,159500,1-Sep-08,22,35,,
1,159500,1-Sep-08,22,40,,
1,159500,1-Sep-08,22,45,,
1,159500,1-Sep-08,22,50,,
1,159500,1-Sep-08,22,55,,
1,159500,1-Sep-08,23,0,,
1,159500,1-Sep-08,23,5,,
1,159500,1-Sep-08,23,10,,
1,159500,1-Sep-08,23,15,,
1,159500,1-Sep-08,23,20,,
1,159500,1-Sep-08,23,25,,
1,159500,1-Sep-08,23,30,,
1,159500,1-Sep-08,23,35,,
1,159500,1-Sep-08,23,40,,
1,159500,1-Sep-08,23,45,,
1,159500,1-Sep-08,23,50,,
1,159500,1-Sep-08,23,55,,
1,159500,2-Sep-08,0,0,,
1,159500,2-Sep-08,0,5,,
1,159500,2-Sep-08,0,10,,
1,159500,2-Sep-08,0,15,,
