reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,159500,2-Sep-08,17,30,,
1,159500,2-Sep-08,17,45,,
1,159500,2-Sep-08,18,0,,
1,159500,2-Sep-08,18,15,,
1,159500,2-Sep-08,18,30,,
1,159500,2-Sep-08,18,45,,
1,159500,2-Sep-08,19,0,,
1,159500,2-Sep-08,19,15,,
1,159500,2-Sep-08,19,30,,
1,159500,2-Sep-08,19,45,,
1,159500,2-Sep-08,20,0,,
1,159500,2-Sep-08,20,15,,
1,159500,2-Sep-08,20,30,,
1,159500,2-Sep-08,20,45,,
1,159500,2-Sep-08,21,0,,
1,159500,2-Sep-08,21,15,,
1,159500,2-Sep-08,21,30,,
1,159500,2-Sep-08,21,45,,
1,159500,2-Sep-08,22,0,,
1,159500,2-Sep-08,22,15,,
1,159500,2-Sep-08,22,30,,
1,159500,2-Sep-08,22,45,,
1,159500,2-Sep-08,23,0,,
1,159500,2-Sep-08,23,15,,
1,159500,2-Sep-08,23,30,,
1,159500,2-Sep-08,23,45,,
1,159500,3-Sep-08,0,0,,
,,,,,,
1,159450,1-Sep-08,0,0,,
1,159450,1-Sep-08,0,15,,
1,159450,1-Sep-08,0,30,,
1,159450,1-Sep-08,0,45,,
1,159450,1-Sep-08,1,0,65.01,65.01
1,159450,1-Sep-08,1,15,,
1,159450,1-Sep-08,1,30,,
1,159450,1-Sep-08,1,45,,
1,159450,1-Sep-08,2,0,,
1,159450,1-Sep-08,2,15,,
1,159450,1-Sep-08,2,30,,
1,159450,1-Sep-08,2,45,,
1,159450,1-Sep-08,3,0,,
1,159450,1-Sep-08,3,15,,
1,159450,1-Sep-08,3,30,,
1,159450,1-Sep-08,3,45,,
1,159450,1-Sep-08,4,0,,
1,159450,1-Sep-08,4,15,,
1,159450,1-Sep-08,4,30,,
1,159450,1-Sep-08,4,45,,
1,159450,1-Sep-08,5,0,,
1,159450,1-Sep-08,5,15,,
1,159450,1-Sep-08,5,30,,
1,159450,1-Sep-08,5,45,,
1,159450,1-Sep-08,6,0,,
1,159450,1-Sep-08,6,15,,
