,storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,sort_storm,sort_order,,
68,Q2,1st-80p,1-Apr,692.602785,6302.808225,134322.1425,4th,80,2,1,,
69,Q2,unr,7-Jan,12.73536,115.9488,2471.04,1st,0,2,0,,
70,Q2,unr,2-Feb,30.97987875,282.0556125,6011.02125,2nd,0,2,0,,
71,Q2,unr,1-Mar,98.24000625,894.4239375,19061.49375,3rd,0,2,0,,
72,Q2,unr,1-Apr,686.102445,6243.626025,133060.8825,4th,0,2,0,,
73,Qm,1st-100p,7-Jan,0.603,5.49,117,1st,100,0,1,,
74,Qm,1st-100p,2-Feb,0,0,0,2nd,100,0,1,,
75,Qm,1st-100p,1-Mar,0,0,0,3rd,100,0,1,,
76,Qm,1st-100p,1-Apr,0,0,0,4th,100,0,1,,
77,Qm,1st-20p,7-Jan,0,0,0,1st,20,0,1,,
78,Qm,1st-20p,2-Feb,0,0,0,2nd,20,0,1,,
79,Qm,1st-20p,1-Mar,0,0,0,3rd,20,0,1,,
80,Qm,1st-20p,1-Apr,0,0,0,4th,20,0,1,,
81,Qm,1st-40p,7-Jan,0,0,0,1st,40,0,1,,
82,Qm,1st-40p,2-Feb,0,0,0,2nd,40,0,1,,
83,Qm,1st-40p,1-Mar,0,0,0,3rd,40,0,1,,
84,Qm,1st-40p,1-Apr,0,0,0,4th,40,0,1,,
85,Qm,1st-60p,7-Jan,3.8592,35.136,748.8,1st,60,0,1,,
86,Qm,1st-60p,2-Feb,0,0,0,2nd,60,0,1,,
87,Qm,1st-60p,1-Mar,0,0,0,3rd,60,0,1,,
88,Qm,1st-60p,1-Apr,0,0,0,4th,60,0,1,,
89,Qm,1st-80p,7-Jan,8.442,76.86,1638,1st,80,0,1,,
90,Qm,1st-80p,2-Feb,0,0,0,2nd,80,0,1,,
91,Qm,1st-80p,1-Mar,0,0,0,3rd,80,0,1,,
92,Qm,1st-80p,1-Apr,0,0,0,4th,80,0,1,,
93,Qm,unr,7-Jan,0,0,0,1st,0,0,0,,
94,Qm,unr,2-Feb,0,0,0,2nd,0,0,0,,
95,Qm,unr,1-Mar,0,0,0,3rd,0,0,0,,
96,Qm,unr,1-Apr,0,0,0,4th,0,0,0,,
97,Q0.5,2nd-100p,7-Jan,1.3266,12.078,257.4,1st,100,0.5,2,,
98,Q0.5,2nd-100p,2-Feb,167.8525875,1528.210125,32568.4125,2nd,100,0.5,2,,
99,Q0.5,2nd-100p,1-Mar,0,0,0,3rd,100,0.5,2,,
100,Q0.5,2nd-100p,1-Apr,21.69594,197.5302,4209.66,4th,100,0.5,2,,
101,Q0.5,2nd-20p,7-Jan,1.3266,12.078,257.4,1st,20,0.5,2,,
102,Q0.5,2nd-20p,2-Feb,13.6855875,124.600125,2655.4125,2nd,20,0.5,2,,
103,Q0.5,2nd-20p,1-Mar,0.26004375,2.3675625,50.45625,3rd,20,0.5,2,,
104,Q0.5,2nd-20p,1-Apr,10.25703,93.3849,1990.17,4th,20,0.5,2,,
105,Q0.5,2nd-60p,7-Jan,1.52559,13.8897,296.01,1st,60,0.5,2,,
106,Q0.5,2nd-60p,2-Feb,64.9657125,591.478875,12605.2875,2nd,60,0.5,2,,
107,Q0.5,2nd-60p,1-Mar,0.09045,0.8235,17.55,3rd,60,0.5,2,,
108,Q0.5,2nd-60p,1-Apr,19.817595,180.42885,3845.205,4th,60,0.5,2,,
109,Q0.5,2nd-80p,7-Jan,1.3266,12.078,257.4,1st,80,0.5,2,,
110,Q0.5,2nd-80p,2-Feb,110.3665875,1004.830125,21414.4125,2nd,80,0.5,2,,
111,Q0.5,2nd-80p,1-Mar,0.07914375,0.7205625,15.35625,3rd,80,0.5,2,,
112,Q0.5,2nd-80p,1-Apr,21.168315,192.72645,4107.285,4th,80,0.5,2,,
113,Q0.5,unr,7-Jan,0,0,0,1st,0,0.5,0,,
114,Q0.5,unr,2-Feb,0.05200875,0.4735125,10.09125,2nd,0,0.5,0,,
115,Q0.5,unr,1-Mar,0.316575,2.88225,61.425,3rd,0,0.5,0,,
116,Q0.5,unr,1-Apr,5.128515,46.69245,995.085,4th,0,0.5,0,,
117,Q1,2nd-100p,7-Jan,3.747645,34.12035,727.155,1st,100,1,2,,
118,Q1,2nd-100p,2-Feb,208.1581125,1895.170875,40388.8875,2nd,100,1,2,,
119,Q1,2nd-100p,1-Mar,46.70611875,425.2348125,9062.38125,3rd,100,1,2,,
120,Q1,2nd-100p,1-Apr,420.11613,3823.0164,81474.12,4th,100,1,2,,
121,Q1,2nd-20p,7-Jan,3.747645,34.12035,727.155,1st,20,1,2,,
122,Q1,2nd-20p,2-Feb,15.60538875,142.0789125,3027.91125,2nd,20,1,2,,
123,Q1,2nd-20p,1-Mar,54.53004375,496.4675625,10580.45625,3rd,20,1,2,,
124,Q1,2nd-20p,1-Apr,397.174995,3614.14935,77022.855,4th,20,1,2,,
125,Q1,2nd-60p,7-Jan,3.747645,34.12035,727.155,1st,60,1,2,,
126,Q1,2nd-60p,2-Feb,76.74154875,698.6917125,14890.15125,2nd,60,1,2,,
127,Q1,2nd-60p,1-Mar,51.29645625,467.0274375,9953.04375,3rd,60,1,2,,
128,Q1,2nd-60p,1-Apr,408.318435,3715.60455,79185.015,4th,60,1,2,,
129,Q1,2nd-80p,7-Jan,3.747645,34.12035,727.155,1st,80,1,2,,
