,storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,sort_storm,sort_order,,
311,Q1,4th-60p,1-Mar,48.1872375,438.719625,9349.7625,3rd,60,1,4,,
312,Q1,4th-60p,1-Apr,1616.47014,14715.579,313610.7,4th,60,1,4,,
313,Q1,4th-80p,7-Jan,3.813975,34.72425,740.025,1st,80,1,4,,
314,Q1,4th-80p,2-Feb,10.83515625,98.6484375,2102.34375,2nd,80,1,4,,
315,Q1,4th-80p,1-Mar,48.1872375,438.719625,9349.7625,3rd,80,1,4,,
316,Q1,4th-80p,1-Apr,2200.479995,20032.77973,426928.0925,4th,80,1,4,,
317,Q1,unr,7-Jan,3.813975,34.72425,740.025,1st,0,1,0,,
318,Q1,unr,2-Feb,10.83515625,98.6484375,2102.34375,2nd,0,1,0,,
319,Q1,unr,1-Mar,48.31160625,439.8519375,9373.89375,3rd,0,1,0,,
320,Q1,unr,1-Apr,393.73488,3582.8289,76355.37,4th,0,1,0,,
321,Q2,4th-100p,7-Jan,12.73536,115.9488,2471.04,1st,100,2,4,,
322,Q2,4th-100p,2-Feb,30.97987875,282.0556125,6011.02125,2nd,100,2,4,,
323,Q2,4th-100p,1-Mar,97.90081875,891.3358125,18995.68125,3rd,100,2,4,,
324,Q2,4th-100p,1-Apr,3091.83225,28139.80325,599700.725,4th,100,2,4,,
325,Q2,4th-20p,7-Jan,12.73536,115.9488,2471.04,1st,20,2,4,,
326,Q2,4th-20p,2-Feb,30.97987875,282.0556125,6011.02125,2nd,20,2,4,,
327,Q2,4th-20p,1-Mar,97.90081875,891.3358125,18995.68125,3rd,20,2,4,,
328,Q2,4th-20p,1-Apr,1042.562378,9489.0075,202224.75,4th,20,2,4,,
329,Q2,4th-40p,7-Jan,12.73536,115.9488,2471.04,1st,40,2,4,,
330,Q2,4th-40p,2-Feb,30.97987875,282.0556125,6011.02125,2nd,40,2,4,,
331,Q2,4th-40p,1-Mar,97.90081875,891.3358125,18995.68125,3rd,40,2,4,,
332,Q2,4th-40p,1-Apr,1457.547983,13267.52288,282750.4875,4th,40,2,4,,
333,Q2,4th-60p,7-Jan,12.73536,115.9488,2471.04,1st,60,2,4,,
334,Q2,4th-60p,2-Feb,30.97987875,282.0556125,6011.02125,2nd,60,2,4,,
335,Q2,4th-60p,1-Mar,97.90081875,891.3358125,18995.68125,3rd,60,2,4,,
336,Q2,4th-60p,1-Apr,1928.329178,17553.93188,374100.1875,4th,60,2,4,,
337,Q2,4th-80p,7-Jan,12.73536,115.9488,2471.04,1st,80,2,4,,
338,Q2,4th-80p,2-Feb,30.97987875,282.0556125,6011.02125,2nd,80,2,4,,
339,Q2,4th-80p,1-Mar,97.90081875,891.3358125,18995.68125,3rd,80,2,4,,
340,Q2,4th-80p,1-Apr,2494.426583,22708.0491,483942.03,4th,80,2,4,,
341,Q2,unr,7-Jan,12.73536,115.9488,2471.04,1st,0,2,0,,
342,Q2,unr,2-Feb,30.97987875,282.0556125,6011.02125,2nd,0,2,0,,
343,Q2,unr,1-Mar,98.24000625,894.4239375,19061.49375,3rd,0,2,0,,
344,Q2,unr,1-Apr,686.102445,6243.626025,133060.8825,4th,0,2,0,,
345,Qm,4th-100p,7-Jan,0,0,0,1st,100,0,4,,
346,Qm,4th-100p,2-Feb,0,0,0,2nd,100,0,4,,
347,Qm,4th-100p,1-Mar,0,0,0,3rd,100,0,4,,
348,Qm,4th-100p,1-Apr,0,0,0,4th,100,0,4,,
349,Qm,4th-20p,7-Jan,0,0,0,1st,20,0,4,,
350,Qm,4th-20p,2-Feb,0,0,0,2nd,20,0,4,,
351,Qm,4th-20p,1-Mar,0,0,0,3rd,20,0,4,,
352,Qm,4th-20p,1-Apr,0,0,0,4th,20,0,4,,
353,Qm,4th-40p,7-Jan,0,0,0,1st,40,0,4,,
354,Qm,4th-40p,2-Feb,0,0,0,2nd,40,0,4,,
355,Qm,4th-40p,1-Mar,0,0,0,3rd,40,0,4,,
356,Qm,4th-40p,1-Apr,0,0,0,4th,40,0,4,,
357,Qm,4th-60p,7-Jan,0,0,0,1st,60,0,4,,
358,Qm,4th-60p,2-Feb,0,0,0,2nd,60,0,4,,
359,Qm,4th-60p,1-Mar,0,0,0,3rd,60,0,4,,
360,Qm,4th-60p,1-Apr,0,0,0,4th,60,0,4,,
361,Qm,4th-80p,7-Jan,0,0,0,1st,80,0,4,,
362,Qm,4th-80p,2-Feb,0,0,0,2nd,80,0,4,,
363,Qm,4th-80p,1-Mar,0,0,0,3rd,80,0,4,,
364,Qm,4th-80p,1-Apr,0,0,0,4th,80,0,4,,
365,Qm,unr,7-Jan,0,0,0,1st,0,0,0,,
366,Qm,unr,2-Feb,0,0,0,2nd,0,0,0,,
367,Qm,unr,1-Mar,0,0,0,3rd,0,0,0,,
368,Qm,unr,1-Apr,0,0,0,4th,0,0,0,,
