OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
6996,125915508,6/10/2016 0:00:00,2,00587257,Scotts Level Branch,3.291951850000000,02060003000737,1,,460,46006,0,1,0,0.035731264562015,10000400033185.000000000000000,0206,1
14994,125919741,3/9/2012 10:35:20,2,,,0.083000000000000,02060003008220,1,,460,46003,0,1,0,0.000928294361757,10000400014643.000000000000000,0206,1
14995,125919818,6/10/2016 0:00:00,2,,,0.625971930000000,02060003008220,1,,460,46006,0,1,0,0.007095553375396,10000400014644.000000000000000,0206,1
15292,125919789,6/10/2016 0:00:00,2,00587257,Scotts Level Branch,2.295873390000000,02060003000737,1,,460,46006,0,1,0,0.026038833502129,10000400009936.000000000000000,0206,1
20246,125919709,3/9/2012 10:33:54,2,,,0.302000000000000,02060003008232,1,,460,46003,0,1,0,0.002791769140135,10000400019317.000000000000000,0206,1
20247,125919742,3/9/2012 10:33:54,2,,,0.356000000000000,02060003008232,1,,460,46006,0,1,0,0.003892138671728,10000400019318.000000000000000,0206,1
21934,125919694,6/10/2016 0:00:00,2,00587257,Scotts Level Branch,2.730156550000000,02060003000737,1,,460,46006,0,1,0,0.029397013880336,10000400019397.000000000000000,0206,1
