OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
6996,125915508,6/10/2016 0:00:00,2,00587257,Scotts Level Branch,3.291951850000000,02060003000737,1,,460,46006,0,1,0,0.035731264562015,10000400033185.000000000000000,0206,1
15292,125919789,6/10/2016 0:00:00,2,00587257,Scotts Level Branch,2.295873390000000,02060003000737,1,,460,46006,0,1,0,0.026038833502129,10000400009936.000000000000000,0206,1
21934,125919694,6/10/2016 0:00:00,2,00587257,Scotts Level Branch,2.730156550000000,02060003000737,1,,460,46006,0,1,0,0.029397013880336,10000400019397.000000000000000,0206,1
