reach,STA,profile,hr,min,RtopW_ft,LtopW_ft
1,138500,1-Sep-08,4,10,,
1,138500,1-Sep-08,4,15,,
1,138500,1-Sep-08,4,20,,
1,138500,1-Sep-08,4,25,,
1,138500,1-Sep-08,4,30,,
1,138500,1-Sep-08,4,35,,
1,138500,1-Sep-08,4,40,,
1,138500,1-Sep-08,4,45,,
1,138500,1-Sep-08,4,50,,
1,138500,1-Sep-08,4,55,,
1,138500,1-Sep-08,5,0,,
1,138500,1-Sep-08,5,5,,
1,138500,1-Sep-08,5,10,,
1,138500,1-Sep-08,5,15,,
1,138500,1-Sep-08,5,20,,
1,138500,1-Sep-08,5,25,,
1,138500,1-Sep-08,5,30,,
1,138500,1-Sep-08,5,35,,
1,138500,1-Sep-08,5,40,,
1,138500,1-Sep-08,5,45,,
1,138500,1-Sep-08,5,50,,
1,138500,1-Sep-08,5,55,,
1,138500,1-Sep-08,6,0,,
1,138500,1-Sep-08,6,5,,
1,138500,1-Sep-08,6,10,,
1,138500,1-Sep-08,6,15,,
1,138500,1-Sep-08,6,20,,
1,138500,1-Sep-08,6,25,,
1,138500,1-Sep-08,6,30,,
1,138500,1-Sep-08,6,35,,
1,138500,1-Sep-08,6,40,,
1,138500,1-Sep-08,6,45,,
1,138500,1-Sep-08,6,50,,
1,138500,1-Sep-08,6,55,,
1,138500,1-Sep-08,7,0,,
1,138500,1-Sep-08,7,5,,
1,138500,1-Sep-08,7,10,,
1,138500,1-Sep-08,7,15,,
1,138500,1-Sep-08,7,20,,
1,138500,1-Sep-08,7,25,,
1,138500,1-Sep-08,7,30,,
1,138500,1-Sep-08,7,35,,
1,138500,1-Sep-08,7,40,,
1,138500,1-Sep-08,7,45,,
1,138500,1-Sep-08,7,50,,
1,138500,1-Sep-08,7,55,,
1,138500,1-Sep-08,8,0,,
1,138500,1-Sep-08,8,5,,
1,138500,1-Sep-08,8,10,,
1,138500,1-Sep-08,8,15,,
1,138500,1-Sep-08,8,20,,
1,138500,1-Sep-08,8,25,,
1,138500,1-Sep-08,8,30,,
1,138500,1-Sep-08,8,35,,
1,138500,1-Sep-08,8,40,,
1,138500,1-Sep-08,8,45,,
1,138500,1-Sep-08,8,50,,
1,138500,1-Sep-08,8,55,,
1,138500,1-Sep-08,9,0,,
1,138500,1-Sep-08,9,5,,
1,138500,1-Sep-08,9,10,,
1,138500,1-Sep-08,9,15,,
1,138500,1-Sep-08,9,20,,
1,138500,1-Sep-08,9,25,,
1,138500,1-Sep-08,9,30,,
1,138500,1-Sep-08,9,35,,
1,138500,1-Sep-08,9,40,,
1,138500,1-Sep-08,9,45,,
1,138500,1-Sep-08,9,50,,
1,138500,1-Sep-08,9,55,,
